0	Baseline	optimal	ZoomOut	Random	E-Greedy	Q-Learning	EG-Q-Learning	Sarsa	E-Greedy-Act-DO	E-Greedy-Int-DO	1-Hop Random	1-hop optimal	
102	1	1	1	1	1	1	1	1	1	1	1	1	
103	1	2	1	1	1	1	1	1	1	2	1	2	
104	1	3	2	2	2	2	2	3	3	2	2	3	
105	0	3	2	1	2	2	2	2	2	1	3	3	
106	0	3	3	1	3	3	3	3	3	1	3	3	
107	0	2	2	2	2	1	1	2	2	1	2	2	
108	0	3	3	2	2	3	3	3	3	2	2	3	
109	0	3	2	3	2	2	2	2	2	2	3	3	
110	1	3	2	2	2	2	2	3	2	2	2	3	
111	1	2	1	1	1	2	2	1	1	1	1	2	
112	1	1	1	1	1	1	1	1	1	1	1	1	
113	1	2	1	1	1	2	2	1	1	1	1	2	
114	1	2	1	2	1	1	1	1	1	2	2	2	
115	1	2	1	1	1	1	1	1	2	2	1	2	
116	0	3	2	2	3	2	2	2	2	2	2	3	
117	0	3	3	1	3	3	3	3	3	2	2	3	
118	0	3	2	1	2	2	2	2	2	2	2	3	
119	1	2	1	1	1	2	2	1	1	2	1	2	
120	1	2	1	2	1	1	1	1	2	2	2	2	
121	2	2	1	1	1	2	2	1	2	1	2	2	
122	1	1	1	1	1	1	1	1	1	1	1	1	
123	1	2	1	1	1	1	1	1	1	1	1	2	
124	1	3	2	1	2	2	2	2	2	2	2	3	
125	0	3	2	1	2	2	2	3	1	1	2	3	
126	0	3	3	2	2	3	3	2	3	3	2	3	
127	0	2	2	1	2	1	1	2	2	2	1	2	
128	0	3	3	2	3	3	3	2	3	3	2	3	
129	0	3	2	0	2	2	2	2	2	2	0	3	
130	1	3	2	1	2	2	2	3	3	3	2	3	
131	1	2	1	1	1	2	2	1	1	1	1	2	
132	1	1	1	1	1	1	1	1	1	1	1	1	
133	1	2	1	1	1	2	2	1	1	1	1	2	
134	1	2	1	1	1	1	1	1	2	2	2	2	
135	1	2	1	2	1	1	1	1	2	2	2	2	
136	0	3	2	1	2	2	2	2	3	3	1	3	
137	0	3	3	1	3	3	3	2	3	3	2	3	
